@relation HTRU_2-weka.filters.unsupervised.attribute.ClassAssigner-Clast-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1-weka.filters.unsupervised.attribute.Standardize

@attribute Profile_mean numeric
@attribute Profile_stdev numeric
@attribute Profile_skewness numeric
@attribute Profile_kurtosis numeric
@attribute DM_mean numeric
@attribute DM_stdev numeric
@attribute DM_skewness numeric
@attribute DM_kurtosis numeric
@attribute class {0,1}

@data
1.265946,0.470067,-0.926621,-0.65451,-0.66456,-1.132435,1.25228,1.302641,0
0.507157,0.606054,-0.626266,-0.606867,-0.633251,-0.890823,0.51548,0.164011,0
0.31173,-0.591642,-0.542908,-0.497644,-0.663854,-1.033861,1.325341,1.130996,0
1.358834,0.541214,-0.970743,-0.624346,-0.511001,-0.281266,-0.280008,-0.474416,0
1.434833,1.211745,-1.024117,-0.657018,-0.55048,-0.362711,-0.073396,-0.366321,0
0.172599,-0.883323,-0.647002,-0.440909,-0.664802,-1.125433,1.330683,1.327282,0
0.586374,0.140226,-0.64817,-0.588958,-0.630406,-0.995086,0.568799,0.345914,0
0.179435,0.387263,-0.684434,-0.587232,-0.641482,-0.917232,0.441878,0.080251,0
1.071524,0.173003,-0.85679,-0.651776,-0.590665,-0.722937,0.11058,-0.194717,0
0.872679,0.428935,-0.809273,-0.621517,-0.636983,-0.965544,0.473973,0.158824,0
-0.214234,-0.671408,-0.487222,-0.429805,-0.586287,-0.684476,-0.003936,-0.288296,0
0.381296,0.110857,-0.664576,-0.573244,-0.66339,-1.085837,1.033401,0.873638,0
0.793663,0.742894,-0.745823,-0.644512,-0.557117,-0.491887,-0.062936,-0.348858,0
0.610903,0.863341,-0.805231,-0.645339,-0.632444,-0.896168,0.37455,0.053716,0
-0.002723,0.037437,-0.519788,-0.557372,-0.663148,-1.142615,1.382987,1.498746,0
0.579538,0.488833,-0.600802,-0.608672,-0.637891,-0.758901,0.488653,0.020996,0
0.713039,-0.099735,-0.790116,-0.568815,-0.641804,-0.915355,0.694179,0.334262,0
-0.003728,0.027679,-0.706236,-0.589662,-0.658145,-0.87193,0.96782,0.48605,0
0.884541,0.30841,-0.635013,-0.623031,-0.447717,-0.063695,-0.267267,-0.468039,0
1.708874,1.275982,-0.927699,-0.689991,-0.622196,-0.878621,0.338051,0.006273,0
1.316813,0.790323,-0.879182,-0.660085,-0.614348,-0.664109,0.39028,-0.023175,0
0.449052,1.169724,-0.674452,-0.655416,-0.626009,-0.679605,0.430957,-0.008255,0
0.930181,-0.214649,-0.804837,-0.596224,-0.600288,-0.719349,0.174059,-0.16812,0
0.419497,0.783616,-0.747666,-0.66023,-0.655361,-0.932287,1.011057,0.603207,0
1.607541,-0.22868,-0.888758,-0.559899,-0.655401,-1.089748,1.038014,0.917702,0
0.826838,0.227528,-0.710319,-0.592642,-0.634663,-0.988623,0.481422,0.232716,0
0.836689,0.546615,-0.727995,-0.586492,-0.683886,-1.235261,2.71416,3.953322,0
0.65614,-0.182242,-0.721134,-0.590358,-0.634522,-0.743728,0.520051,0.06396,0
0.612109,0.651404,-0.65968,-0.609778,-0.055711,0.676003,-0.800611,-0.657705,0
1.457151,1.192749,-0.865278,-0.665945,-0.644649,-1.040678,0.645551,0.442954,0
-0.287017,-1.04989,-0.385318,-0.286631,-0.69371,-1.293115,4.53117,7.953599,0
1.244231,0.872115,-0.886704,-0.664818,0.694674,1.698514,-1.03016,-0.69514,0
0.581548,0.639426,-0.640812,-0.650114,-0.643922,-0.838153,0.708167,0.278161,0
0.528268,-0.286631,-0.616398,-0.566126,-0.664156,-0.997828,1.182544,0.837024,0
0.490872,0.615306,-0.725337,-0.629914,-0.432749,-0.070688,-0.476183,-0.560312,0
0.818192,0.34328,-0.697488,-0.667849,-0.668695,-0.991775,1.365461,1.021499,0
2.09068,0.125,-1.167846,-0.54748,-0.67269,-1.101587,1.522939,1.386133,0
0.870266,-0.36156,-0.811548,-0.597535,-0.591351,-0.632841,0.090806,-0.251283,0
1.371902,0.114067,-0.90899,-0.624862,-0.667505,-0.975352,1.308208,0.930903,0
0.057393,-0.411806,-0.477069,-0.472755,-0.646525,-0.849223,0.794341,0.35427,0
0.001902,0.341239,-0.475444,-0.591375,-0.67045,-1.143934,1.516638,1.595179,0
0.155107,0.040334,-0.639778,-0.576755,-0.606864,-0.73561,0.241231,-0.118095,0
1.518875,0.4822,-0.907994,-0.626051,-0.517295,-0.275242,-0.213581,-0.442416,0
0.868858,-0.218296,-0.769017,-0.596212,-0.660727,-0.932886,1.056893,0.636267,0
1.090825,0.849384,-0.840072,-0.671037,1.049481,2.104141,-1.110304,-0.702849,0
0.84433,0.150771,-0.833044,-0.608771,-0.619109,-0.871214,0.238645,-0.080893,0
1.052222,1.408296,-0.808749,-0.658122,-0.645254,-0.957095,0.514252,0.170883,0
0.492681,-0.01448,-0.545769,-0.564144,-0.65173,-0.822142,0.914621,0.438571,0
0.313942,0.147439,-0.491723,-0.575834,-0.633674,-0.849331,0.387052,-0.003893,0
0.781399,0.052469,-0.792134,-0.584686,-0.641562,-0.941313,0.598233,0.240894,0
0.545961,1.078174,-0.816258,-0.686727,-0.67739,-1.0166,1.879015,1.659144,0
1.502388,0.183522,-1.004725,-0.627922,-0.617818,-0.910859,0.299746,0.013787,0
0.665992,1.273645,-0.705923,-0.655162,-0.632767,-0.79941,0.602383,0.17677,0
1.213269,1.380835,-0.943703,-0.664092,-0.641623,-0.952864,0.721883,0.385153,0
0.27373,-0.21369,-0.714538,-0.55394,-0.620622,-0.820883,0.38634,0.033101,0
0.634024,0.114164,-0.717291,-0.597775,-0.664237,-0.954694,1.288564,0.901425,0
0.066441,-1.026282,-0.423053,-0.397828,-0.596899,-0.628348,0.162537,-0.199682,0
1.422569,2.086027,-0.819189,-0.698013,-0.640231,-0.854379,0.757641,0.347222,0
1.220909,0.616807,-0.95861,-0.633258,-0.534523,-0.310185,-0.084601,-0.370301,0
0.508967,1.026089,-0.59935,-0.627322,-0.645698,-0.876083,0.730202,0.317231,0
1.098264,0.516295,-0.950548,-0.633541,-0.638193,-1.024425,0.518822,0.309302,0
0.091171,0.485135,-0.537645,-0.562938,-0.571279,-0.532672,-0.046969,-0.33698,0
1.093238,1.643369,-0.772578,-0.684487,-0.658972,-0.97646,0.988822,0.622268,0
0.083531,0.278502,-0.45243,-0.571403,-0.676462,-1.128528,1.706355,1.689531,0
0.184662,0.63391,-0.600305,-0.596764,-0.669785,-1.169162,1.684059,1.992297,0
0.6674,0.902758,-0.817783,-0.674635,0.020484,0.96481,-0.821303,-0.664337,0
0.720881,1.274163,-0.700363,-0.660794,-0.543258,-0.262002,-0.108102,-0.398288,0
0.694944,0.974279,-0.716562,-0.641842,-0.596636,-0.605594,0.096316,-0.257351,0
0.985873,1.532531,-0.7785,-0.681112,-0.652375,-1.028452,0.916004,0.717796,0
-0.130193,-0.614469,-0.514769,-0.458776,-0.651185,-1.003808,0.974137,0.721822,0
1.181703,0.384017,-0.91124,-0.62509,-0.639404,-0.903931,0.746669,0.373677,0
0.660162,1.928696,-0.640473,-0.692494,-0.624516,-0.889561,0.499333,0.183388,0
1.567933,1.169425,-1.009619,-0.642832,-0.649329,-0.895277,0.778066,0.364072,0
1.079164,1.860632,-0.870289,-0.695096,-0.624415,-0.751984,0.46314,0.049009,0
0.541739,0.24114,-0.622615,-0.587806,-0.629297,-0.944403,0.430122,0.147887,0
0.950085,1.216017,-0.782951,-0.688357,-0.459095,-0.140515,-0.436564,-0.54566,0
0.819197,0.729944,-0.67345,-0.629866,-0.670753,-1.042452,1.537114,1.323331,0
0.322587,0.395585,-0.523816,-0.578645,-0.638556,-0.843912,0.695291,0.284668,0
0.983461,0.889411,-0.800797,-0.669747,-0.631778,-0.989334,0.393061,0.157732,0
0.812361,1.201587,-0.696403,-0.673516,-0.660545,-1.095836,1.13724,1.029503,0
1.135259,0.721261,-0.835957,-0.629459,-0.686367,-1.172279,2.646424,3.133491,0
1.013619,1.013917,-0.883336,-0.661071,-0.525465,-0.314428,-0.257471,-0.467681,0
0.511581,0.255265,-0.689631,-0.609956,-0.645234,-1.011061,0.591026,0.320055,0
0.185466,0.292975,-0.648483,-0.602377,-0.610899,-0.739975,0.346926,-0.023221,0
1.465796,0.11888,-0.972309,-0.610804,-0.562523,-0.490668,0.032726,-0.281675,0
1.058053,0.998686,-0.80342,-0.657786,-0.629378,-0.903409,0.544721,0.195158,0
0.869663,0.36349,-0.871608,-0.618164,1.446592,2.076407,-1.142426,-0.700859,0
1.029905,0.710471,-0.810951,-0.643023,-0.651064,-0.901763,0.761722,0.333124,0
0.45448,-0.044103,-0.649373,-0.560332,-0.664297,-0.994733,1.236008,0.894631,0
0.967376,0.807585,-0.72154,-0.63879,-0.653182,-0.909038,0.749477,0.302957,0
1.170041,1.421552,-0.760256,-0.666975,-0.574345,-0.670601,0.059803,-0.228192,0
0.11389,0.733853,-0.619971,-0.633097,-0.642107,-0.950989,0.98219,0.692572,0
1.047799,0.748386,-0.858169,-0.656878,-0.652698,-0.914092,0.934639,0.559969,0
0.148673,-0.33312,-0.456853,-0.52105,-0.671963,-1.167809,1.720556,1.996872,0
1.225131,0.075179,-0.850933,-0.651537,-0.631032,-0.916386,0.604811,0.268504,0
0.979842,2.018729,-0.769629,-0.694365,-0.304306,0.387411,-0.579746,-0.601912,0
1.073132,1.004108,-0.815008,-0.66133,-0.616991,-0.748367,0.329617,-0.051305,0
-0.252837,-0.427578,-0.377902,-0.438013,-0.488871,-0.074197,-0.294769,-0.491277,0
0.636236,0.749993,-0.664235,-0.641535,-0.678419,-1.091743,2.003167,2.022491,0
0.934805,2.172828,-0.863867,-0.686893,-0.514188,-0.17396,-0.219778,-0.453456,0
0.306704,-0.380269,-0.646576,-0.543668,-0.584492,-0.564068,0.074778,-0.261839,0
0.830658,1.19503,-0.677628,-0.650894,-0.632565,-0.73848,0.573373,0.137687,0
0.821811,1.277521,-0.800841,-0.654853,-0.165231,0.741138,-0.699639,-0.636904,0
0.871271,1.144215,-0.641554,-0.668439,-0.620602,-0.717766,0.33785,-0.068383,0
0.929578,0.144921,-0.70658,-0.615976,-0.642369,-0.926094,0.531654,0.170627,0
1.365268,-0.240552,-1.076039,-0.578023,-0.651003,-1.077033,0.872366,0.733168,0
0.343497,1.058836,-0.623234,-0.631692,-0.624818,-0.656529,0.481891,0.031452,0
0.777981,-1.245993,-0.730688,-0.431786,-0.634562,-0.942823,0.485311,0.16862,0
0.527062,0.091333,-0.691092,-0.634465,-0.598775,-0.655999,0.123195,-0.215842,0
0.395772,0.031067,-0.585878,-0.570712,-0.637306,-0.798869,0.606866,0.1641,0
1.518473,0.674137,-0.859674,-0.634041,-0.64594,-0.818037,0.724936,0.265703,0
0.727717,0.136845,-0.794717,-0.623574,-0.640473,-0.978746,0.630091,0.323708,0
0.712838,0.144018,-0.710467,-0.600608,-0.681929,-1.221468,2.449171,3.403889,0
1.015831,0.465793,-0.806684,-0.65152,-0.665044,-0.94334,1.235956,0.825614,0
0.778182,0.437153,-0.665706,-0.600965,-0.602002,-0.805144,0.081237,-0.198446,0
0.257244,-0.739521,-0.485533,-0.472128,-0.639545,-0.880346,0.581586,0.203141,0
0.490067,0.486488,-0.677523,-0.602023,-0.645879,-0.902441,0.66986,0.268407,0
0.882128,1.397735,-0.89211,-0.682198,-0.647533,-0.877861,1.19287,0.785441,0
0.838901,0.962969,-0.779915,-0.66566,-0.669664,-1.018543,1.366456,1.040725,0
0.894192,0.191587,-0.685975,-0.582694,-0.655502,-1.012976,1.1192,0.891304,0
