@relation HTRU_2-weka.filters.unsupervised.attribute.ClassAssigner-Clast-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1-weka.filters.unsupervised.attribute.Standardize

@attribute Profile_mean numeric
@attribute Profile_stdev numeric
@attribute Profile_skewness numeric
@attribute Profile_kurtosis numeric
@attribute DM_mean numeric
@attribute DM_stdev numeric
@attribute DM_skewness numeric
@attribute DM_kurtosis numeric
@attribute class {0,1}

@data
0.508967,1.026089,-0.59935,-0.627322,-0.645698,-0.876083,0.730202,0.317231,0
0.543549,0.637879,-0.605763,-0.623551,-0.632605,-0.85243,0.334769,-0.038241,0
1.726567,0.796947,-1.053601,-0.622608,-0.639121,-0.950729,0.619638,0.305012,0
1.084391,1.426524,-0.804974,-0.691754,-0.476041,0.020932,-0.26584,-0.479747,0
-0.279779,-0.775862,-0.185882,-0.263047,-0.184356,0.6159,-0.712281,-0.639703,1
-1.429019,-0.858783,1.304592,0.896771,4.112245,0.762814,-1.602085,-0.65967,1
-1.811027,-0.741658,1.629987,1.325344,0.675368,0.36414,-0.842635,-0.647735,1
-0.12396,-0.556843,0.044115,-0.242787,-0.226013,0.535409,-0.61715,-0.607589,1
1.064085,0.914941,-0.929236,-0.641304,-0.643237,-0.976242,0.6398,0.329705,0
-0.182668,-0.45115,-0.152866,-0.320753,-0.511828,-0.13833,-0.168385,-0.426846,1
0.426332,1.190547,-0.606085,-0.626493,-0.654816,-1.129036,1.166093,1.24777,0
0.311529,0.99533,-0.598459,-0.628376,-0.663107,-1.100625,1.238589,1.145371,0
-1.943323,-1.214449,2.162499,2.243492,2.159293,1.116511,-1.207915,-0.690833,1
-1.152968,-1.199028,1.007054,0.935209,1.417885,1.894693,-1.158224,-0.7006,1
0.087753,0.12553,-0.428495,-0.546768,-0.616366,-0.738405,0.206803,-0.159715,1
0.203562,0.09695,-0.460834,-0.524985,-0.587377,-0.602291,0.063641,-0.254605,0
0.891377,-0.312398,-0.615708,-0.537238,-0.662845,-0.965625,1.127871,0.734879,0
-1.874762,-1.209451,1.909133,1.84639,3.538175,0.226519,-1.33607,-0.676118,1
-1.239021,-1.272701,1.241853,1.158325,1.683769,1.477473,-1.212483,-0.69584,1
-1.747493,-1.325865,2.347383,2.718283,1.640356,0.647982,-0.950427,-0.674629,1
-0.863447,-1.27294,1.059584,0.801158,0.368674,1.4071,-0.883769,-0.673041,1
1.098264,0.516295,-0.950548,-0.633541,-0.638193,-1.024425,0.518822,0.309302,0
-2.025756,-1.116812,2.266479,2.492491,1.983604,1.311652,-1.169658,-0.697292,1
0.367624,0.24014,-0.603963,-0.586113,-0.599178,-0.691708,0.025942,-0.283999,1
-0.774379,0.75035,0.306388,-0.249953,-0.113083,0.618494,-0.717661,-0.634655,1
0.534702,-0.378966,-0.631895,-0.568248,-0.689897,-1.21796,3.041251,4.001322,0
1.334506,1.063089,-0.862041,-0.665983,1.026867,1.827999,-1.135476,-0.703654,0
0.52103,1.051535,-0.767467,-0.670285,-0.65879,-0.909048,0.990817,0.545678,0
0.894192,0.191587,-0.685975,-0.582694,-0.655502,-1.012976,1.1192,0.891304,0
-1.114164,-1.632586,1.455995,1.57105,-0.112519,0.788277,-0.690843,-0.631358,1
-0.364625,-1.039806,0.57946,0.301285,-0.523044,-0.26327,-0.136341,-0.395398,1
-0.921552,-1.578151,1.268123,1.318315,0.266234,1.404103,-0.86404,-0.670893,1
0.548776,0.868793,-0.639125,-0.629928,-0.624798,-0.614912,0.506501,0.044383,0
0.878509,1.907733,-0.722008,-0.698692,-0.551549,-0.35021,0.008073,-0.316313,0
0.712838,0.144018,-0.710467,-0.600608,-0.681929,-1.221468,2.449171,3.403889,0
-1.527537,-0.685937,1.390278,1.031021,-0.514471,-0.347413,-0.213896,-0.427422,1
-1.241634,0.823795,0.884742,0.221812,2.080516,1.667782,-1.212073,-0.696621,1
0.961948,1.688657,-0.727653,-0.682615,-0.641038,-0.76374,0.700928,0.233359,0
1.117968,-0.078225,-0.693858,-0.625841,-0.680698,-1.190002,2.394282,2.981698,0
-1.578606,-1.245454,1.612484,1.468204,-0.143142,0.444206,-0.695932,-0.626682,1
-1.796752,-1.422577,2.14771,2.304913,0.82457,1.208069,-1.025118,-0.685975,1
0.636236,0.749993,-0.664235,-0.641535,-0.678419,-1.091743,2.003167,2.022491,0
0.533697,0.776373,-0.580918,-0.612966,-0.6529,-1.083543,0.928421,0.801493,0
0.801907,0.735677,-0.702003,-0.613083,-0.370555,0.218678,-0.535589,-0.587778,0
0.654532,-0.186075,-0.812313,-0.598721,-0.669502,-1.202876,1.913439,2.633704,0
-1.740054,-1.688366,2.875819,3.759346,1.16342,1.419415,-1.040908,-0.687991,1
0.852975,1.296029,-0.701869,-0.676438,0.022804,1.062033,-0.827311,-0.667967,0
